Epoch 0067/2100 | Loss 0.00000 | Score: -5.0 | Epsilon=0.0968 (train=False)
Epoch 0068/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0968 (train=False)
Epoch 0069/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0967 (train=False)
Epoch 0070/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0967 (train=False)
Epoch 0071/2100 | Loss 0.00000 | Score: -5.0 | Epsilon=0.0966 (train=False)
Epoch 0072/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0966 (train=False)
Epoch 0073/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0965 (train=False)
Epoch 0074/2100 | Loss 0.00000 | Score: -3.0 | Epsilon=0.0965 (train=False)
Epoch 0075/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0964 (train=False)
Epoch 0076/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0964 (train=False)
Epoch 0077/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0963 (train=False)
Epoch 0078/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0963 (train=False)
Epoch 0079/2100 | Loss 0.00000 | Score: -5.0 | Epsilon=0.0962 (train=False)
Epoch 0080/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0962 (train=False)
Epoch 0081/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0961 (train=False)
Epoch 0082/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0961 (train=False)
Epoch 0083/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0961 (train=False)
Epoch 0084/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0960 (train=False)
Epoch 0085/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0960 (train=False)
Epoch 0086/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0959 (train=False)
Epoch 0087/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0959 (train=False)
Epoch 0088/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0958 (train=False)
Epoch 0089/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0958 (train=False)
Epoch 0090/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0957 (train=False)
Epoch 0091/2100 | Loss 0.00000 | Score: -5.0 | Epsilon=0.0957 (train=False)
Epoch 0092/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0956 (train=False)
